test_id,trial,orifice,volume_ml,time_s,hydraulic_head_m,bore_mm,flow_l_min,mean_flow,std_flow,n,theory_flow,theory_vel_m_s,theory_bore_mm,vel_meas_m_s,vel_meas_err_m_s,rsd_pct,rsd_err_pct,total_flow_l_min,v_max_m_s,v_min_m_s,dv_pct,req_rsd_ok,req_dv_ok
5,1,11,130,30,0.4,2.0,0.26,0.26,0.0,2,0.4775650832668263,2.5335614550002665,1.7014754766027549,1.3793428401297596,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,1,150,30,0.4,2.0,0.3,0.29000000000000004,0.014142135623730904,2,0.5280567765147015,2.8014282071829006,1.7014754766027549,1.5384977832216553,0.0750263596797586,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,2,130,30,0.4,2.0,0.26,0.26,0.0,2,0.5227762087495544,2.7734139251110714,1.7014754766027549,1.3793428401297596,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,3,170,30,0.4,2.0,0.34,0.34,0.0,2,0.5175484466620589,2.7456797858599606,1.7014754766027549,1.8037560217081474,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,4,130,30,0.4,2.0,0.26,0.26,0.0,2,0.5123729621954384,2.7182229880013615,1.7014754766027549,1.3793428401297596,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,5,150,30,0.4,2.0,0.3,0.3,0.0,2,0.507249232573484,2.6910407581213476,1.7014754766027549,1.5915494309189533,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,6,140,30,0.4,2.0,0.28,0.28,0.0,2,0.502176740247749,2.664130350540134,1.7014754766027549,1.485446135524357,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,7,140,30,0.4,2.0,0.28,0.29000000000000004,0.014142135623730944,2,0.4971549728452716,2.637489047034733,1.7014754766027549,1.5384977832216553,0.0750263596797588,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,8,140,30,0.4,2.0,0.28,0.29000000000000004,0.014142135623730944,2,0.49218342311681884,2.611114156564385,1.7014754766027549,1.5384977832216553,0.0750263596797588,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,9,140,30,0.4,2.0,0.28,0.28,0.0,2,0.4872615888856507,2.5850030149987417,1.7014754766027549,1.485446135524357,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
